,Title,Topic,Date,File Link,download_loc
16,"Correspondence from PAC Chair Dame Meg Hillier to James Bowler CB, Permanent Secretary, HM Treasury and Jim Harra CB, First Permanent Secretary and Chief Executive, HM Revenue & Customs, re Treasury Minute response – COVID employment support schemes, dated 27 June 2023",,Published 3 July 2023,https://committees.parliament.uk/publications/40720/documents/198424/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 3 July 2023
17,"Correspondence from PAC Chair Dame Meg Hillier to Dame Bernadette Kelly DCB, Permanent Secretary, Department for Transport, re Treasury Minute response – Investigation into the management of backlogs in driving licence applications, dated 27 June 2023",,Published 3 July 2023,https://committees.parliament.uk/publications/40719/documents/198420/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 3 July 2023_1
18,"Correspondence from PAC Chair Dame Meg Hillier to Amanda Pritchard, Chief Executive, NHS England, re Treasury Minute response – Managing NHS backlogs and waiting times in England, dated 27 June 2023",,Published 3 July 2023,https://committees.parliament.uk/publications/40717/documents/198466/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 3 July 2023_1_2
19,Restoration & Renewal of the Palace of Westminster – 2023 Recall,,Published 3 July 2023,https://committees.parliament.uk/publications/40716/documents/198417/default/,Restoration & Renewal of the Palace of WestminsterPublished 3 July 2023
20,"Correspondence from PAC Chair Dame Meg Hillier to Tamara Finkelstein CB – re Defra recall: environmental protection, dated 16 June 2023",Inquiry Defra Recall: Environmental protection,Published 29 June 2023,https://committees.parliament.uk/publications/40680/documents/198241/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 29 June 2023
21,"Joint correspondence from Beth Russell, Second Permanent Secretary, HM Treasury, and Jim Harra, Chief Executive and First Permanent Secretary, HM Revenue & Customs, re Forty-Fourth Report of Session 2022-23 – Digital Services Tax, dated Forty-Fourth Report of Session 2022-23 – Digital Services Tax",Inquiry Digital Services Tax,Published 27 June 2023,https://committees.parliament.uk/publications/40604/documents/198019/default/,"Joint correspondence from Beth Russell, Second PerPublished 27 June 2023"
22,"Correspondence from Jim Harra, Permanent Secretary and Chief Executive, HM Revenue and Customs - re Measuring tax gaps 2023 edition: tax gap estimates for 2021 to 2022, dated 22 June 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40602/documents/198017/default/,"Correspondence from Jim Harra, Permanent SecretaryPublished 27 June 2023"
23,"Correspondence from PAC Chair Dame Meg Hillier to Suzanne Muna, Secretary, Social Housing Action Campaign, re Housing Association Service Charges 20 June",,Published 27 June 2023,https://committees.parliament.uk/publications/40601/documents/198016/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 27 June 2023
24,"Correspondence from Dame Bernadette Kelly DCB , Permanent Secretary, Department for Transport, re Publication of High Speed Two (HS2) Parliamentary Report, dated 19 June 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40600/documents/198015/default/,"Correspondence from Dame Bernadette Kelly DCB , PePublished 27 June 2023"
25,"Correspondence from James Bowler, Permanent Secretary, HM Treasury, re Follow-up: Treasury Minute response – The Creation of the UK Infrastructure Bank, dated 16 June 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40599/documents/198014/default/,"Correspondence from James Bowler, Permanent SecretPublished 27 June 2023"
26,"Correspondence from David Black, Chief Executive, Ofwat, re Storm Overflows, dated 16 June 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40598/documents/198013/default/,"Correspondence from David Black, Chief Executive, Published 27 June 2023"
27,"Correspondence from Robert Jenrick, Minister for Immigration, Home Office, re Extension to the Pilot to measure the impact of electronic monitoring on selected cohorts of individuals who make illegal and dangerous journeys to the UK, dated 15 June 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40597/documents/198012/default/,"Correspondence from Robert Jenrick, Minister for IPublished 27 June 2023"
28,"Correspondence from Sir Philip Barton KCMG Permanent Under-Secretary, The Foreign, Commonwealth & Development Office, re Fraud against the FCDO in Sierra Leone, dated 8 June 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40596/documents/198011/default/,Correspondence from Sir Philip Barton KCMG PermanePublished 27 June 2023
29,"Correspondence from David Black, Chief Executive, Ofwat, re Ofwat’s progress to drive sector improvements, dated 30 May 2023",,Published 27 June 2023,https://committees.parliament.uk/publications/40595/documents/198010/default/,"Correspondence from David Black, Chief Executive, Published 27 June 2023_1"
30,"Correspondence from Alex Chisholm, Civil Service Chief Operating Officer and Cabinet Office Permanent Secretary, re Tackling fraud and corruption against government: supplementary evidence, dated 25 May 2023",Inquiry Tackling fraud and corruption against government,Published 19 June 2023,https://committees.parliament.uk/publications/40481/documents/197552/default/,"Correspondence from Alex Chisholm, Civil Service CPublished 19 June 2023"
31,"Correspondence from Sarah Healey, Permanent Secretary, Department for Levelling Up, Housing & Communities, re further information regarding Treasury Minute progress reports, dated 22 May 2023",,Published 19 June 2023,https://committees.parliament.uk/publications/40480/documents/197550/default/,"Correspondence from Sarah Healey, Permanent SecretPublished 19 June 2023"
32,"Correspondence from Professor Sir Ian Diamond, National Statistician, UK Statistic Authority, re the future of population and migration statistics in England and Wales, dated 14 June 2023",,Published 19 June 2023,https://committees.parliament.uk/publications/40478/documents/197547/default/,"Correspondence from Professor Sir Ian Diamond, NatPublished 19 June 2023"
33,"Correspondence from Jonathan Brearley, Chief Executive, Ofgem, re Bulb energy, dated 14 June 2023",Inquiry Bulb Energy,Published 19 June 2023,https://committees.parliament.uk/publications/40477/documents/197546/default/,"Correspondence from Jonathan Brearley, Chief ExecuPublished 19 June 2023"
34,"Correspondence from Sir Chris Wormald, Permanent Secretary of the Department of Health and Social Care, re Agenda for Change non-consolidated pay Ministerial Direction, dated 12 June 2023",,Published 19 June 2023,https://committees.parliament.uk/publications/40475/documents/197544/default/,"Correspondence from Sir Chris Wormald, Permanent SPublished 19 June 2023"
35,"Correspondence from Jim Harra, Chief Executive and First Permanent Secretary, HM Revenue and Customs, re Following the hearing on Child Trust Funds on 18 May 2023, dated 7 June 2023",Inquiry Child Trust Funds,Published 19 June 2023,https://committees.parliament.uk/publications/40474/documents/197542/default/,"Correspondence from Jim Harra, Chief Executive andPublished 19 June 2023"
36,"Correspondence from David Williams, Permanent Secretary, Ministry of Defence, re Ajax Lessons Learned Review, dated 7 June 2023",,Published 19 June 2023,https://committees.parliament.uk/publications/40472/documents/197541/default/,"Correspondence from David Williams, Permanent SecrPublished 19 June 2023"
37,"Correspondence from Alex Chisholm, Civil Service Chief Operating Officer and Cabinet Office Permanent Secretary, re Digital Transformation in government: addressing barriers to efficiency, dated 7 June 2023",Inquiry Digital transformation in government: addressing barriers to efficiency,Published 19 June 2023,https://committees.parliament.uk/publications/40471/documents/197539/default/,"Correspondence from Alex Chisholm, Civil Service CPublished 19 June 2023_1"
38,"Correspondence from Tamara Finkelstein CB, Permanent Secretary, The Department for Environment, Food and Rural Affairs, re PAC Recall Session: Follow-Up Response, dated 2 June 2023",Inquiry Defra Recall: Environmental protection,Published 19 June 2023,https://committees.parliament.uk/publications/40470/documents/197538/default/,"Correspondence from Tamara Finkelstein CB, PermanePublished 19 June 2023"
39,"Correspondence from Sarah Munby, Permanent Under-Secretary of State, re DCMS recall: Broadband, Gambling, Unboxed and Arts Council of England, dated 31 May 2023","Inquiry DCMS: Broadband, Gambling and Unboxed",Published 12 June 2023,https://committees.parliament.uk/publications/40312/documents/196888/default/,"Correspondence from Sarah Munby, Permanent Under-SPublished 12 June 2023"
40,"Joint correspondence from Ruth Hannant and Polly Payne, Permanent Secretaries (interim), Department for Culture, Media and Sport, re Gambling Act Review, UNBOXED and Arts Council England, dated 31 May 2023",,Published 12 June 2023,https://committees.parliament.uk/publications/40311/documents/196887/default/,Joint correspondence from Ruth Hannant and Polly PPublished 12 June 2023
41,"Correspondence from David Williams, Permanent Secretary, Ministry of Defence, re Service Family accommodation void target, dated 31 May 2023",,Published 12 June 2023,https://committees.parliament.uk/publications/40310/documents/196886/default/,"Correspondence from David Williams, Permanent SecrPublished 12 June 2023"
42,"Correspondence from Gareth Davies, Permanent Secretary, Department for Business and Trade, re local authority administered Covid grant schemes, dated 25 May 2023",Inquiry Local authority administered COVID grant schemes,Published 12 June 2023,https://committees.parliament.uk/publications/40309/documents/196885/default/,"Correspondence from Gareth Davies, Permanent SecrePublished 12 June 2023"
43,"Correspondence from the Rt Hon Steve Barclay MP, Secretary of State for Health and Social Care, Department for Health and Social Care, re update on the commitment to deliver 40 new hospitals by 2030, dated 25 May 2023",,Published 12 June 2023,https://committees.parliament.uk/publications/40308/documents/196882/default/,"Correspondence from the Rt Hon Steve Barclay MP, SPublished 12 June 2023"
44,"Correspondence from Alex Chisholm, Civil Service Chief Operating Officer and Cabinet Office Permanent Secretary, re Tackling fraud and corruption against government: supplementary evidence, dated 25 May 2023",Inquiry Tackling fraud and corruption against government,Published 12 June 2023,https://committees.parliament.uk/publications/40307/documents/196880/default/,"Correspondence from Alex Chisholm, Civil Service CPublished 12 June 2023"
45,"Correspondence from PAC Chair Dame Meg Hillier to Sir Chris Wormald Permanent Secretary Department of Health and Social Care, re Contingent Liability – Covid-19 Vaccine Liabilities: children aged 6 months to 4 years, dated 6 June 2023",,Published 12 June 2023,https://committees.parliament.uk/publications/40306/documents/196879/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 12 June 2023
46,"Correspondence from PAC Chair Dame Meg Hillier to Sir Chris Wormald Permanent Secretary Department of Health and Social Care, re Agenda for Change non-consolidated pay Ministerial Direction, dated 6 June 2023",,Published 12 June 2023,https://committees.parliament.uk/publications/40305/documents/196878/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 12 June 2023_1
47,"Correspondence from Andrew Griffith MP, Economic Secretary to the Treasury, re Government’s shareholding in NatWest Group: £1.26 billion sale of shares, dated 22 May 2023",,Published 5 June 2023,https://committees.parliament.uk/publications/40201/documents/196338/default/,"Correspondence from Andrew Griffith MP, Economic SPublished 5 June 2023"
48,"Correspondence from PAC Chair Dame Meg Hillier to Sir Chris Wormald Permanent Secretary Department of Health and Social Care, re Agenda for Change non-consolidated pay Ministerial Direction, dated 26 May 2023",,Published 5 June 2023,https://committees.parliament.uk/publications/40200/documents/196334/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 5 June 2023
49,"Correspondence from David Williams, Permanent Secretary, Ministry of Defence, re Type 31 General Purpose Frigate Costs, dated 25 May 2023",,Published 5 June 2023,https://committees.parliament.uk/publications/40198/documents/196331/default/,"Correspondence from David Williams, Permanent SecrPublished 5 June 2023"
50,"Correspondence from Alex Chisholm, Civil Service Chief Operating Officer, Cabinet Office Permanent Secretary, re Virtual Infrastructure Group Ltd and UKCloud Ltd, dated 24 May 2023",,Published 5 June 2023,https://committees.parliament.uk/publications/40199/documents/196341/default/,"Correspondence from Alex Chisholm, Civil Service CPublished 5 June 2023"
51,"Correspondence from Gareth Davies, Permanent Secretary, Department for Business and Trade, re Supporting Investment into the UK, dated 23 March 2023",Inquiry Supporting investments in the UK,Published 25 May 2023,https://committees.parliament.uk/publications/40143/documents/195712/default/,"Correspondence from Gareth Davies, Permanent SecrePublished 25 May 2023"
52,"Correspondence from PAC Chair Dame Meg Hillier to James Bowler CB, Permanent Secretary HM Treasury, re Treasury Minute response – The Creation of the UK Infrastructure Bank, dated 19 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40104/documents/195622/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 24 May 2023
53,"Correspondence from Tamara Finkelstein CB, Permanent Secretary, The Department for Environment, Food and Rural Affairs, re Forty-fifth Report of Session 2019-21: ‘Managing Flood Risk’, dated 17 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40103/documents/195619/default/,"Correspondence from Tamara Finkelstein CB, PermanePublished 24 May 2023"
54,"Correspondence from Tamara Finkelstein CB, Permanent Secretary, The Department for Environment, Food and Rural Affairs, re PAC Recall Session: Follow-Up Response, dated 19 May 2023",Inquiry Defra Recall: Environmental protection,Published 24 May 2023,https://committees.parliament.uk/publications/40102/documents/195617/default/,"Correspondence from Tamara Finkelstein CB, PermanePublished 24 May 2023_1"
55,"Correspondence from Tamara Finkelstein CB, Permanent Secretary, The Department for Environment, Food and Rural Affairs, re Targeted interventions to deliver on environmental ambitions, dated 17 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40100/documents/195616/default/,"Correspondence from Tamara Finkelstein CB, PermanePublished 24 May 2023_1_2"
56,"Correspondence from Rt Hon Michael Gove MP, Secretary of State, Levelling up Housing & Communities Minister for Intergovernmental Relations, re Renters (Reform) Bill - reforming the private rented sector in England, dated 17 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40098/documents/195613/default/,"Correspondence from Rt Hon Michael Gove MP, SecretPublished 24 May 2023"
57,"Correspondence from Philip Duffy, Director General, Growth and Productivity, HM Treasury, re Local authority administered COVID grant schemes, dated 17 May 2023",Inquiry Local authority administered COVID grant schemes,Published 24 May 2023,https://committees.parliament.uk/publications/40097/documents/195612/default/,"Correspondence from Philip Duffy, Director GeneralPublished 24 May 2023"
58,"Correspondence from Sir Chris Wormald, Permanent Secretary of the Department of Health and Social Care, re Treasury minute progress report for TM11 - Rollout of vaccine programme, dated 15 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40096/documents/195611/default/,"Correspondence from Sir Chris Wormald, Permanent SPublished 24 May 2023"
59,"Correspondence from Shona Dunn, Second Permanent Secretary, Department of Health and Social Care, re Public Accounts Committee, Eighty-Fifth Report of Session 2017-19, Auditing Local Government, dated 15 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40095/documents/195608/default/,"Correspondence from Shona Dunn, Second Permanent SPublished 24 May 2023"
60,"Correspondence from Kier Pritchard, Chief Constable, NPCC lead for ESMCP, re update on Emergency Services Mobile Communication Programme (ESMCP), dated 15 May 2023",Inquiry Emergency Services Network,Published 24 May 2023,https://committees.parliament.uk/publications/40094/documents/195607/default/,"Correspondence from Kier Pritchard, Chief ConstablPublished 24 May 2023"
61,"Correspondence from Amanda Pritchard, Chief Executive Officer, NHS England, re Thirty Eighth Report on NHS Backlogs and Waiting Times: Recommendations Three and Four, dated 15 May 2023",Inquiry Managing NHS backlogs & waiting times,Published 24 May 2023,https://committees.parliament.uk/publications/40093/documents/195606/default/,"Correspondence from Amanda Pritchard, Chief ExecutPublished 24 May 2023"
62,"Correspondence from Jim Harra, Chief Executive and First Permanent Secretary, HM Revenue and Customs, re Public Accounts Committee Report: HMRC Performance 2021-22, Recommendation 5, dated 12 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40092/documents/195605/default/,"Correspondence from Jim Harra, Chief Executive andPublished 24 May 2023"
63,"Correspondence from Ben Norman, Deputy Chief Fire Officer NFCC, Strategic Lead for Operational Communications, re Follow up questions raised at the Public Accounts Committee on the Emergency Service Network, dated 26 April 2023",Inquiry Emergency Services Network,Published 24 May 2023,https://committees.parliament.uk/publications/40091/documents/195604/default/,"Correspondence from Ben Norman, Deputy Chief Fire Published 24 May 2023"
64,"Correspondence from Sir Chris Wormald, Permanent Secretary of the Department of Health and Social Care, re the Treasury minute progress report for TM5 - Managing the Costs of Clinic, dated 11 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40090/documents/195603/default/,"Correspondence from Sir Chris Wormald, Permanent SPublished 24 May 2023_1"
65,"Correspondence from Chris Lucas, Senior User, NHS Ambulance Radio Programme, re Inquiry Into Emergency Services Network, 9 May 2023",,Published 24 May 2023,https://committees.parliament.uk/publications/40089/documents/195601/default/,"Correspondence from Chris Lucas, Senior User, NHS Published 24 May 2023"
66,"Correspondence from Dame Bernadette Kelly DCB, Permanent Secretary, Department for Transport, re Public Accounts Committee Hearing on HS2 Euston – Monday April 24th, 2023, dated 3 May 2023",Inquiry HS2 Euston,Published 15 May 2023,https://committees.parliament.uk/publications/39960/documents/194895/default/,"Correspondence from Dame Bernadette Kelly DCB, PerPublished 15 May 2023"
67,"Correspondence from Susan Acland-Hood, Permanent Secretary, Department for Education, re 42nd report of the 2021-22 Session – Financial sustainability of schools in England, dated 27 April 2023",,Published 15 May 2023,https://committees.parliament.uk/publications/39959/documents/194894/default/,"Correspondence from Susan Acland-Hood, Permanent SPublished 15 May 2023"
68,Public Accounts Committee session on progress in improving mental health services on 20 April 2023 – follow up letter,Inquiry Progress Improving Mental Health Services,Published 15 May 2023,https://committees.parliament.uk/publications/39958/documents/194893/default/,Public Accounts Committee session on progress in iPublished 15 May 2023
69,"Correspondence from Shona Dunn, Second Permanent Secretary, Department of Health and Social Care, re Digitising Social Care programme: Accounting Officer Assessment, dated 10 May 2023",,Published 15 May 2023,https://committees.parliament.uk/publications/39957/documents/194890/default/,"Correspondence from Shona Dunn, Second Permanent SPublished 15 May 2023"
70,"Correspondence from Tom Tugendhat MP, Security Minister, re Publication of the Government’s Fraud Strategy, dated 3 May 2023",,Published 15 May 2023,https://committees.parliament.uk/publications/39956/documents/194888/default/,"Correspondence from Tom Tugendhat MP, Security MinPublished 15 May 2023"
71,"Correspondence from Rt Hon Graham Stuart MP, Minister of State, Department for Energy Security & Net Zero, re Sellafield Replacement Sea Line (RSL), dated 2 May 2023",,Published 15 May 2023,https://committees.parliament.uk/publications/39955/documents/194886/default/,"Correspondence from Rt Hon Graham Stuart MP, MinisPublished 15 May 2023"
72,"Correspondence from Nick Goodwin, Chief Executive, HM Courts & Tribunals Service, re Common Platform: final phase of the HMCTS Reform Programme, dated 2 May 2023",,Published 15 May 2023,https://committees.parliament.uk/publications/39954/documents/194885/default/,"Correspondence from Nick Goodwin, Chief Executive,Published 15 May 2023"
73,"Correspondence from Jim Harra, Chief Executive and First Permanent Secretary, HMRC, re Public Accounts Committee Report: HMRC Performance 2021-22, Recommendation 5, dated 28 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39919/documents/194552/default/,"Correspondence from Jim Harra, Chief Executive andPublished 11 May 2023"
74,"Correspondence from David Hughes CBE, Chief Executive, Association of Colleges, re Whole of Government Accounts and further education, dated 28 April",,Published 11 May 2023,https://committees.parliament.uk/publications/39917/documents/194549/default/,"Correspondence from David Hughes CBE, Chief ExecutPublished 11 May 2023"
75,"Correspondence from Rt Hon Stuart Andrew MP, Minister, Sport, Gambling and Civil Society, re Gambling White Paper, dated 27 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39916/documents/194546/default/,"Correspondence from Rt Hon Stuart Andrew MP, MinisPublished 11 May 2023"
76,"Correspondence from Susan Acland-Hood, Permanent Secretary, Department for Education, re 42nd report of the 2021-22 Session – Financial sustainability of schools in England, dated 27 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39915/documents/194545/default/,"Correspondence from Susan Acland-Hood, Permanent SPublished 11 May 2023"
77,"Correspondence from Professor Dame Jennifer Harries DBE, Chief Executive Officer, UK Health Security Agency, re Managing Cross Border Travel During the Covid-19 Pandemic, dated 21 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39914/documents/194536/default/,Correspondence from Professor Dame Jennifer HarriePublished 11 May 2023
78,"Joint correspondence from Ruth Hannant and Polly Payne, Permanent Secretaries (interim), Department for Culture, Media and Sport, re Eighth report of session 2021-22 - COVID 19: Culture Recovery Fund, dated 21 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39912/documents/194533/default/,Joint correspondence from Ruth Hannant and Polly PPublished 11 May 2023
79,"Correspondence from James Bowler, Permanent Secretary, HM Treasury, re Follow-up: The Creation of the UK Infrastructure Bank, Thirty-Fourth Report of Session 2022-23, dated 30 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39911/documents/194529/default/,"Correspondence from James Bowler, Permanent SecretPublished 11 May 2023"
80,"Correspondence from PAC Chair Dame Meg Hillier to Shona Dunn, Second Permanent Secretary, Department of Health & Social Care, re DHSC Summary Accounting Officer Assessment - Digitising Social Care, dated 21 April 2023",,Published 11 May 2023,https://committees.parliament.uk/publications/39910/documents/194528/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 11 May 2023
81,"Correspondence from PAC Chair Dame Meg Hillier to The Rt. Hon. Grant Shapps MP, Secretary of State, Department for Energy Security and Net Zero, re Contingent Liability – Energy Bills Discount Scheme, dated 21 April",,Published 11 May 2023,https://committees.parliament.uk/publications/39909/documents/194527/default/,Correspondence from PAC Chair Dame Meg Hillier to Published 11 May 2023_1
82,"Correspondence from Antonio Romeo Permanent Secretary, Ministry of Justice, re Treasury Minute response - Improving outcomes for women in the criminal justice system, dated 30 November 2023",,Published 26 April 2023,https://committees.parliament.uk/publications/39319/documents/192948/default/,Correspondence from Antonio Romeo Permanent SecretPublished 26 April 2023
83,"Correspondence from Alex Chisholm, Permanent Secretary, Civil Service Chief Operating Officer and Cabinet Office, re Managing Central Government Property, dated 4 April 2023",,Published 24 April 2023,https://committees.parliament.uk/publications/39158/documents/192686/default/,"Correspondence from Alex Chisholm, Permanent SecrePublished 24 April 2023"
84,"Correspondence from Emily Miles, Chief Executive, Food Standards Agency, re Nineteenth Report of Session 2022-23: Regulating after EU Exit (Food Standards Agency, Competition and Markets Authority and Health and Safety Executive), dated 18 April 2023",,Published 24 April 2023,https://committees.parliament.uk/publications/39157/documents/192626/default/,"Correspondence from Emily Miles, Chief Executive, Published 24 April 2023"
85,"Correspondence from Sir Philip Barton KCMG Permanent Under-Secretary, The Foreign, Commonwealth & Development Office, re FCDO Accounting Officer Assessments, dated 17 April 2023",,Published 24 April 2023,https://committees.parliament.uk/publications/39156/documents/192622/default/,Correspondence from Sir Philip Barton KCMG PermanePublished 24 April 2023
86,"Correspondence from Alex Chisholm, Permanent Secretary, Civil Service Chief Operating Officer and Cabinet Office, re recommendation 2 of the Thirtieth Report of the 2021-22 Session of the Public Accounts Committee, on ‘Challenges in implementing digital change, dated 14 December 2023",,Published 24 April 2023,https://committees.parliament.uk/publications/39155/documents/192680/default/,"Correspondence from Alex Chisholm, Permanent SecrePublished 24 April 2023_1"
87,"Correspondence from Gareth Davies, Permanent Secretary, Department for Business and Trade, re Public Accounts Committee: Program of Trade Negotiations – recommendation 3: Support to Business and SME’s, dated 28 March 2023",,Published 20 April 2023,https://committees.parliament.uk/publications/39132/documents/192399/default/,"Correspondence from Gareth Davies, Permanent SecrePublished 20 April 2023"
88,"Correspondence from Sarah Cardell, Chief Executive, CMA, re Regulating After EU Exit – CMA update, dated 6 April 2023",,Published 18 April 2023,https://committees.parliament.uk/publications/39038/documents/191942/default/,"Correspondence from Sarah Cardell, Chief ExecutivePublished 18 April 2023"
89,"Correspondence from Peter Schofield CB, Permanent Secretary, Department for Work and Pensions, re Workplace Transformation Programme – AOA, dated 12 April 2023",,Published 18 April 2023,https://committees.parliament.uk/publications/39037/documents/191940/default/,"Correspondence from Peter Schofield CB, Permanent Published 18 April 2023"
